for,Pegasus_System,PowerTrain,Comms,RiderInteraction,ElectricPowerDelivery,MechanicalFrame,MainComputingPlatform
CR_requirement_1,,,,,,,CR_requirement_1
CR_requirement_2,,,,,,,CR_requirement_2
CR_requirement_3,,CR_requirement_3,,,,,CR_requirement_3
CR_requirement_4,,,,,,,CR_requirement_4
CR_requirement_5,,,CR_requirement_5,,,,CR_requirement_5
CR_requirement_6,,CR_requirement_6,,,,,
CR_requirement_7,,,,,,,CR_requirement_7
CR_requirement_8,,,CR_requirement_8,,,,CR_requirement_8
CR_requirement_9,,,CR_requirement_9,,,,CR_requirement_9
CR_requirement_10,,,,,,,CR_requirement_10
CR_requirement_11,,,CR_requirement_11,,,,CR_requirement_11
CR_requirement_12,,,,,,,CR_requirement_12
CR_requirement_13,,,,,,,CR_requirement_13
CR_requirement_14,,,,,,,CR_requirement_14
CR_requirement_15,,,CR_requirement_15,,,,CR_requirement_15
CR_requirement_21,,,CR_requirement_21,,,,CR_requirement_21
CR_requirement_22,,,CR_requirement_22,,,,CR_requirement_22
CR_requirement_23,,,CR_requirement_23,,,,CR_requirement_23
CR_requirement_24,,CR_requirement_24,,,,,CR_requirement_24
CR_requirement_25,,,CR_requirement_25,,,,CR_requirement_25
CR_requirement_0,,CR_requirement_0,,,,,CR_requirement_0
CRD_01,,,,,,,CRD_01
CRD_02,,,,,,,CRD_02
CRD_03,,,,,,,CRD_03
CRD_04,,CRD_04,,,,,
CRD_05,,CRD_05,,,,,
CRD_06,,,,,,,CRD_06
CRD_07,,,,,,,CRD_07
CRD_08,,,CRD_08,,,,CRD_08
CRD_09,,,CRD_09,,,,
CRD_10,,,CRD_10,,,,CRD_10
CRD_11,,,CRD_11,,,,CRD_11
CRD_12,,,,,,,CRD_12
CRD_13,,,,,,,CRD_13
CRD_14,,CRD_14,,,,,CRD_14
CRD_15,,,,,,,CRD_15
CRD_16,,,,,,,CRD_16
CRD_17,,,CRD_17,,,,
CRD_18,,,CRD_18,,,,
CRD_19,,,CRD_19,,,,CRD_19
CRD_20,,,,,,,CRD_20
CRD_21,,,,,,CRD_21,
CRD_22,,,,,,,CRD_22
CRD_23,,,,,,CRD_23,
CRD_24,,CRD_24,,,,,CRD_24
CRD_25,,,,,,,CRD_25
CRD_26,,CRD_26,,,,,
CRD_27,,CRD_27,,,,,
CRD_28,,CRD_28,,,,,CRD_28
CRD_30,,,,,,CRD_30,
CRD_31,,,,CRD_31,,,
CRD_32,,,,CRD_32,,,
efarg01,,,,efarg01,,,
efarg02,,,efarg02,,,,efarg02
efarg13,,,,,,,efarg13
efarg16,,,,,,,efarg16
efarg17,,,,,,,efarg17
efarg18,,,efarg18,,,,efarg18
efarg19,,,,,,,efarg19
efarg20,,,,,,,efarg20
efarg22,,,,,,,efarg22
efarg21,,,,,,,efarg21
efarg03,,,,,,,efarg03
efarg04,,,,,,,efarg04
efarg05,,,,efarg05,,,
efarg06,,,,,,,efarg06
efarg07,,,,,,,efarg07
efarg08,,,,,,,efarg08
efarg09,,,,,,,efarg09
efarg10,,,,,,,efarg10
efarg11,,,,,,,efarg11
efarg12,,,,efarg12,,,
efarg14,,,,,,,efarg14
efarg15,,,,,,,efarg15
efarg23,,,,,,,efarg23
efarg24,,,,,,,efarg24
efarg25,,,,,,,efarg25
efarg26,,,,efarg26,,,
efarg27,,,,,,,efarg27
EFD01,,,,EFD01,,,EFD01
EFD02,,,EFD02,,,,
EFD03,,,,,,,EFD03
EFD04,,,,EFD04,,,
EFD05,,,,EFD05,,,
EFD06,,,,,,,EFD06
DIReg01,,,,,,,DIReg01
DIReg02,,,,DIReg02,,,
DIReg03,,,,DIReg03,,,
DIReg04,,,,DIReg04,,,
DIReg05,,,,,,,DIReg05
DIReg06,,,,,,,DIReg06
DIReg07,,,,,,,DIReg07
DIQoSReq01,,,,DIQoSReq01,,,
DIQosReq02,,,,DIQosReq02,,,
DIQoSReq03,,,,,,,DIQoSReq03
DIReq10,,,DIReq10,DIReq10,,,DIReq10
DIReq11,,,,,,,DIReq11
DIReq12,,,,,,,DIReq12
DIReq13,,,DIReq13,DIReq13,,,DIReq13
DID01,,,,DID01,,,
DID02,,,,,,,DID02
DID03,,,,,,,DID03
DID04,,,,,,,DID04
DID05,,,,,,,DID05
DID06,,,,,,,DID06
DID07,,,,,,,DID07
DID08,,,,DID08,,,
DID09,,,,DID09,,,
DID10,,,,,,,DID10
DID11,,,,,,,DID11
DID12,,,DID12,,,,
PowerReq01,,,,,PowerReq01,,
PowerReq02,,,,,PowerReq02,,
PowerReq03,,,,PowerReq03,,,
PowerReq04,,,,PowerReq04,,,PowerReq04
PowerReq05,,PowerReq05,,,PowerReq05,,
PowerReq06,,,,,PowerReq06,PowerReq06,
