Stereotype,Tag,Description
bitmapped,bit_0,
,bit_1,
,bit_2,
,bit_3,
,bit_4,
,bit_5,
,bit_6,
,bit_7,
,bit_8,
,bit_9,
,bit_10,
,bit_11,
,bit_12,
,bit_13,
,bit_14,
,bit_15,
,Number_Of_Bits,
,Start_Address,
,Timing_Constraints,
,Usage,
bytemapped,Endianism,
,Format,
,Numer_Of_Bytes,
,Start_Address,
,Starting_Byte_Number,
,Timing_Constraints,
,Units,
,Usage,
digitalVoltage,Usage,
ee_hy_interface,,
ee_me_interface,,
electrohydraulic,,
electronics,,
hydraulic,,
interruptmapped,Byte_Width,
,Data_Address,
,Data_Field_Type,
,Interrupt_number,
,Usage,
mechanics,,
memorymapped,Bitmap,
,Numer_Of_Bytes,
,Range_High,
,Range_low,
,Start_Address,
,Timing_Constraints,
,Usage,
,Name in tg,
physicalRealization,,
software,,
staticMechanical,,
sw_ee_interface,,
voltagemapped,,
